timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:45:46.920Z,OK,archive-performance,1.20 Coliseum Ellesmere\Img_3050.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/Img_3050.jpg,1396838,
2026-01-19T10:45:48.554Z,OK,archive-performance,1.20 Coliseum Ellesmere\Img_3064.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/Img_3064.jpg,1530676,
2026-01-19T10:45:48.880Z,OK,archive-performance,1.20 Coliseum Ellesmere\presents.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/presents.jpg,57793,
2026-01-19T10:45:49.658Z,OK,archive-performance,1.20 Coliseum Ellesmere\proposal images\3031 b wendy.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/proposal images/3031 b wendy.jpg,863177,
2026-01-19T10:45:50.351Z,OK,archive-performance,1.20 Coliseum Ellesmere\proposal images\3050 b wendy.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/proposal images/3050 b wendy.jpg,530014,
2026-01-19T10:45:50.351Z,SKIP,,1.20 Coliseum Ellesmere\proposal images\Thumbs.db,,47104,SKIP_skip_ext:.db
2026-01-19T10:45:50.351Z,SKIP,,1.20 Coliseum Ellesmere\Thumbs.db,,80384,SKIP_skip_ext:.db
2026-01-19T10:45:54.608Z,OK,archive-product,1.20 Corn Exchange Manchester\1.20 Corn Exchange Manchester v2.pdf,prospects-and-clients-product-c044accb9f/1.20 Corn Exchange Manchester/1.20 Corn Exchange Manchester v2.pdf,4791410,
2026-01-19T10:45:54.608Z,SKIP,,1.20 Corn Exchange Manchester\1.20 Corn Exchange Manchester v2.pptx,,87467949,SKIP_over_50MB (83.4MB)
2026-01-19T10:45:57.992Z,OK,archive-product,1.20 Corn Exchange Manchester\1.20 Corn Exchange Manchester v3.pdf,prospects-and-clients-product-c044accb9f/1.20 Corn Exchange Manchester/1.20 Corn Exchange Manchester v3.pdf,3478822,
2026-01-19T10:45:57.993Z,SKIP,,1.20 Corn Exchange Manchester\1.20 Corn Exchange Manchester v3.pptx,,83942977,SKIP_over_50MB (80.1MB)
2026-01-19T10:46:12.276Z,OK,archive-product,1.20 Corn Exchange Manchester\1.20 Corn Exchange Manchester.pdf,prospects-and-clients-product-c044accb9f/1.20 Corn Exchange Manchester/1.20 Corn Exchange Manchester.pdf,9299086,
2026-01-19T10:46:12.276Z,SKIP,,1.20 Corn Exchange Manchester\1.20 Corn Exchange Manchester.pptx,,97611085,SKIP_over_50MB (93.1MB)
2026-01-19T10:46:13.011Z,OK,archive-people,1.20 Corn Exchange Manchester\FP1.20 Corn Exchange Manchester Costing.xlsx,prospects-and-clients-people-c044accb9f/1.20 Corn Exchange Manchester/FP1.20 Corn Exchange Manchester Costing.xlsx,68367,
2026-01-19T10:46:13.011Z,SKIP,,1.20 Corn Exchange Manchester\Thumbs.db,,104448,SKIP_skip_ext:.db
2026-01-19T10:46:17.374Z,OK,archive-product,1.20 Garden Square\Garden Square 2 2023.pdf,prospects-and-clients-product-c044accb9f/1.20 Garden Square/Garden Square 2 2023.pdf,5093025,
2026-01-19T10:46:21.435Z,OK,archive-product,1.20 Garden Square\Garden Square 2023.pdf,prospects-and-clients-product-c044accb9f/1.20 Garden Square/Garden Square 2023.pdf,4733756,
2026-01-19T10:46:40.490Z,OK,archive-people,1.20 Garden Square\Garden Square 2023.pptx,prospects-and-clients-people-c044accb9f/1.20 Garden Square/Garden Square 2023.pptx,23321175,
2026-01-19T10:46:40.832Z,OK,archive-people,1.20 Garden Square\Garden Square Costings 2023.xlsx,prospects-and-clients-people-c044accb9f/1.20 Garden Square/Garden Square Costings 2023.xlsx,38923,
2026-01-19T10:46:40.833Z,SKIP,,1.20 Garden Square\Thumbs.db,,25600,SKIP_skip_ext:.db
2026-01-19T10:46:41.079Z,OK,archive-people,1.20 Mulberry Walks\2019 Costing Sheet -FP 1.20 Mulberry Walks Scheme 1&2.xls,prospects-and-clients-people-c044accb9f/1.20 Mulberry Walks/2019 Costing Sheet -FP 1.20 Mulberry Walks Scheme 1&2.xls,90624,
